price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
1359,apartment,1075,2,2,1,1,0,0,0,0,w/d in unit,carport,ut
720,apartment,850,1,1,0,0,1,0,0,0,laundry on site,carport,ca
749,apartment,784,2,1,1,1,1,0,0,0,w/d in unit,off-street parking,va
700,apartment,1500,2,1,0,1,1,0,0,0,w/d hookups,attached garage,nc
481,apartment,607,1,1,0,0,1,0,0,0,laundry in bldg,carport,mi
855,apartment,722,1,1,1,1,0,0,0,0,w/d in unit,off-street parking,mn
625,apartment,1400,1,1,0,0,0,0,0,0,no laundry on site,off-street parking,ny
830,apartment,750,2,1,1,1,1,0,0,0,laundry in bldg,carport,mi
1000,apartment,633,1,1,1,1,1,1,0,0,w/d in unit,carport,ca
1495,apartment,1800,4,2,1,1,0,0,0,0,w/d hookups,off-street parking,co
1364,apartment,871,2,1,1,1,0,0,0,0,laundry in bldg,off-street parking,co
800,apartment,629,2,1,0,0,0,0,0,1,w/d in unit,off-street parking,il
1100,apartment,1000,3,1,0,0,0,0,0,0,w/d hookups,off-street parking,mt
1950,apartment,550,1,1,0,0,0,0,0,1,laundry in bldg,off-street parking,tn
1095,apartment,908,2,1.5,0,0,0,0,0,0,w/d hookups,attached garage,mt
1199,apartment,592,1,1,1,0,1,0,0,0,laundry in bldg,off-street parking,mn
640,apartment,840,2,1,1,1,1,0,0,0,w/d hookups,off-street parking,tx
1700,apartment,834,1,1,1,1,1,0,0,0,w/d in unit,attached garage,fl
790,apartment,901,2,1.5,1,0,1,0,0,0,laundry in bldg,off-street parking,ia
580,apartment,550,1,1,0,0,1,0,0,0,laundry in bldg,detached garage,in
1170,apartment,551,0,1,1,1,0,1,1,0,w/d in unit,attached garage,sc
2559,apartment,1442,2,2,1,1,1,0,0,0,laundry in bldg,attached garage,dc
1395,apartment,900,2,1,1,1,0,0,0,0,w/d hookups,off-street parking,nh
1475,apartment,825,2,1,1,0,1,0,0,0,laundry on site,off-street parking,vt
750,apartment,800,2,1,0,0,1,0,0,0,w/d hookups,off-street parking,ny
1770,apartment,1487,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,pa
